mode,round,slot,arch_name,model_dir,has_model,has_config
Grid,round_001,0,afno,model_rounds/round_001/model_00_afno,true,true
Grid,round_001,1,attention_mamba,model_rounds/round_001/model_01_attention_mamba,true,true
Grid,round_001,2,cnn_deeponet,model_rounds/round_001/model_02_cnn_deeponet,true,true
Grid,round_001,3,convnext_v2_unet,model_rounds/round_001/model_03_convnext_v2_unet,true,true
Grid,round_001,4,dilated_fno,model_rounds/round_001/model_04_dilated_fno,true,true
Grid,round_001,5,dilated_hrformer,model_rounds/round_001/model_05_dilated_hrformer,true,true
Grid,round_001,6,dilated_unet,model_rounds/round_001/model_06_dilated_unet,true,true
Grid,round_001,7,ffno,model_rounds/round_001/model_07_ffno,true,true
Grid,round_001,8,fno_encoder_decoder,model_rounds/round_001/model_08_fno_encoder_decoder,true,true
Grid,round_001,9,hrdcn,model_rounds/round_001/model_09_hrdcn,true,true
Grid,round_002,0,hrformer,model_rounds/round_002/model_00_hrformer,true,true
Grid,round_002,1,hrnet,model_rounds/round_002/model_01_hrnet,true,true
Grid,round_002,2,mamba2d,model_rounds/round_002/model_02_mamba2d,true,true
Grid,round_002,3,mamba_attention,model_rounds/round_002/model_03_mamba_attention,true,true
Grid,round_002,4,nafnet,model_rounds/round_002/model_04_nafnet,true,true
Grid,round_002,5,perceiver_io,model_rounds/round_002/model_05_perceiver_io,true,true
Grid,round_002,6,quadmamba,model_rounds/round_002/model_06_quadmamba,true,true
Grid,round_002,7,residual_spectral,model_rounds/round_002/model_07_residual_spectral,true,true
Grid,round_002,8,sac_mamba,model_rounds/round_002/model_08_sac_mamba,true,true
Grid,round_002,9,swin_unetr,model_rounds/round_002/model_09_swin_unetr,true,true
Grid,round_003,0,transolver,model_rounds/round_003/model_00_transolver,true,true
Grid,round_003,1,transolver_lite,model_rounds/round_003/model_01_transolver_lite,true,true
Grid,round_003,2,ufno,model_rounds/round_003/model_02_ufno,true,true
Grid,round_003,3,umamba,model_rounds/round_003/model_03_umamba,true,true
Grid,round_003,4,unet_afno,model_rounds/round_003/model_04_unet_afno,true,true
Grid,round_003,5,unet_sdf_7level,model_rounds/round_003/model_05_unet_sdf_7level,true,true
Grid,round_003,6,unet_v3,model_rounds/round_003/model_06_unet_v3,true,true
Grid,round_003,7,uno,model_rounds/round_003/model_07_uno,true,true
Grid,round_003,8,afno,model_rounds/round_003/model_08_afno,true,true
Grid,round_003,9,attention_gate_unet,model_rounds/round_003/model_09_attention_gate_unet,true,true
Grid,round_004,0,afno,model_rounds/round_004/model_00_afno,true,true
Grid,round_004,1,attention_gate_unet,model_rounds/round_004/model_01_attention_gate_unet,true,true
Grid,round_004,2,attention_mamba,model_rounds/round_004/model_02_attention_mamba,true,true
Grid,round_004,3,cbam_unet,model_rounds/round_004/model_03_cbam_unet,true,true
Grid,round_004,4,cnn_deeponet,model_rounds/round_004/model_04_cnn_deeponet,true,true
Grid,round_004,5,cno_v2,model_rounds/round_004/model_05_cno_v2,true,true
Grid,round_004,6,convnext_v2_unet,model_rounds/round_004/model_06_convnext_v2_unet,true,true
Grid,round_004,7,dcn_unet,model_rounds/round_004/model_07_dcn_unet,true,true
Grid,round_004,8,dilated_fno,model_rounds/round_004/model_08_dilated_fno,true,true
Grid,round_004,9,dilated_hrformer,model_rounds/round_004/model_09_dilated_hrformer,true,true
Grid,round_005,0,afno,model_rounds/round_005/model_00_afno,true,true
Grid,round_005,1,attention_gate_unet,model_rounds/round_005/model_01_attention_gate_unet,true,true
Grid,round_005,2,attention_mamba,model_rounds/round_005/model_02_attention_mamba,true,true
Grid,round_005,3,cbam_unet,model_rounds/round_005/model_03_cbam_unet,true,true
Grid,round_005,4,cnn_deeponet,model_rounds/round_005/model_04_cnn_deeponet,true,true
Grid,round_005,5,cno_v2,model_rounds/round_005/model_05_cno_v2,true,true
Grid,round_005,6,convnext_v2_unet,model_rounds/round_005/model_06_convnext_v2_unet,true,true
Grid,round_005,7,dcn_unet,model_rounds/round_005/model_07_dcn_unet,true,true
Grid,round_005,8,dilated_fno,model_rounds/round_005/model_08_dilated_fno,true,true
Grid,round_005,9,dilated_hrformer,model_rounds/round_005/model_09_dilated_hrformer,true,true
Grid,round_006,0,afno,model_rounds/round_006/model_00_afno,true,true
Grid,round_006,1,attention_gate_unet,model_rounds/round_006/model_01_attention_gate_unet,true,true
Grid,round_006,2,attention_mamba,model_rounds/round_006/model_02_attention_mamba,true,true
Grid,round_006,3,cbam_unet,model_rounds/round_006/model_03_cbam_unet,true,true
Grid,round_006,4,cnn_deeponet,model_rounds/round_006/model_04_cnn_deeponet,true,true
Grid,round_006,5,cno_v2,model_rounds/round_006/model_05_cno_v2,true,true
Grid,round_006,6,convnext_v2_unet,model_rounds/round_006/model_06_convnext_v2_unet,true,true
Grid,round_006,7,dcn_unet,model_rounds/round_006/model_07_dcn_unet,true,true
Grid,round_006,8,dilated_fno,model_rounds/round_006/model_08_dilated_fno,true,true
Grid,round_006,9,dilated_hrformer,model_rounds/round_006/model_09_dilated_hrformer,true,true
Grid,round_007,0,attention_gate_unet,model_rounds/round_007/model_00_attention_gate_unet,true,true
Grid,round_007,1,attention_mamba,model_rounds/round_007/model_01_attention_mamba,true,true
Grid,round_007,2,cbam_unet,model_rounds/round_007/model_02_cbam_unet,true,true
Grid,round_007,3,cnn_deeponet,model_rounds/round_007/model_03_cnn_deeponet,true,true
Grid,round_007,4,cno_v2,model_rounds/round_007/model_04_cno_v2,true,true
Grid,round_007,5,convnext_v2_unet,model_rounds/round_007/model_05_convnext_v2_unet,true,true
Grid,round_007,6,dcn_unet,model_rounds/round_007/model_06_dcn_unet,true,true
Grid,round_007,7,dilated_fno,model_rounds/round_007/model_07_dilated_fno,true,true
Grid,round_007,8,dilated_hrformer,model_rounds/round_007/model_08_dilated_hrformer,true,true
Grid,round_007,9,dilated_unet,model_rounds/round_007/model_09_dilated_unet,true,true
Grid,round_008,0,cbam_unet,model_rounds/round_008/model_00_cbam_unet,true,true
Grid,round_008,1,cno_v2,model_rounds/round_008/model_01_cno_v2,true,true
Grid,round_008,2,dcn_unet,model_rounds/round_008/model_02_dcn_unet,true,true
Grid,round_008,3,dilated_unet,model_rounds/round_008/model_03_dilated_unet,true,true
Grid,round_008,4,ffno,model_rounds/round_008/model_04_ffno,true,true
Grid,round_008,5,fno2d,model_rounds/round_008/model_05_fno2d,true,true
Grid,round_008,6,fno_encoder_decoder,model_rounds/round_008/model_06_fno_encoder_decoder,true,true
Grid,round_008,7,fourier_unet,model_rounds/round_008/model_07_fourier_unet,true,true
Grid,round_008,8,hrdcn,model_rounds/round_008/model_08_hrdcn,true,true
Grid,round_008,9,hrformer,model_rounds/round_008/model_09_hrformer,true,true
Grid,round_009,0,dilated_unet,model_rounds/round_009/model_00_dilated_unet,true,true
Grid,round_009,1,ffno,model_rounds/round_009/model_01_ffno,true,true
Grid,round_009,2,fno2d,model_rounds/round_009/model_02_fno2d,true,true
Grid,round_009,3,fno_encoder_decoder,model_rounds/round_009/model_03_fno_encoder_decoder,true,true
Grid,round_009,4,fourier_unet,model_rounds/round_009/model_04_fourier_unet,true,true
Grid,round_009,5,hrdcn,model_rounds/round_009/model_05_hrdcn,true,true
Grid,round_009,6,hrformer,model_rounds/round_009/model_06_hrformer,true,true
Grid,round_009,7,hrnet,model_rounds/round_009/model_07_hrnet,true,true
Grid,round_009,8,kan_unet,model_rounds/round_009/model_08_kan_unet,true,true
Grid,round_009,9,mamba2d,model_rounds/round_009/model_09_mamba2d,true,true
Grid,round_010,0,dilated_unet,model_rounds/round_010/model_00_dilated_unet,true,true
Grid,round_010,1,ffno,model_rounds/round_010/model_01_ffno,true,true
Grid,round_010,2,fno2d,model_rounds/round_010/model_02_fno2d,true,true
Grid,round_010,3,fno_encoder_decoder,model_rounds/round_010/model_03_fno_encoder_decoder,true,true
Grid,round_010,4,fourier_unet,model_rounds/round_010/model_04_fourier_unet,true,true
Grid,round_010,5,hrdcn,model_rounds/round_010/model_05_hrdcn,true,true
Grid,round_010,6,hrformer,model_rounds/round_010/model_06_hrformer,true,true
Grid,round_010,7,hrnet,model_rounds/round_010/model_07_hrnet,true,true
Grid,round_010,8,kan_unet,model_rounds/round_010/model_08_kan_unet,true,true
Grid,round_010,9,mamba2d,model_rounds/round_010/model_09_mamba2d,true,true
Grid,round_011,0,ffno,model_rounds/round_011/model_00_ffno,true,true
Grid,round_011,1,fno2d,model_rounds/round_011/model_01_fno2d,true,true
Grid,round_011,2,fno_encoder_decoder,model_rounds/round_011/model_02_fno_encoder_decoder,true,true
Grid,round_011,3,fourier_unet,model_rounds/round_011/model_03_fourier_unet,true,true
Grid,round_011,4,hrdcn,model_rounds/round_011/model_04_hrdcn,true,true
Grid,round_011,5,hrformer,model_rounds/round_011/model_05_hrformer,true,true
Grid,round_011,6,hrnet,model_rounds/round_011/model_06_hrnet,true,true
Grid,round_011,7,kan_unet,model_rounds/round_011/model_07_kan_unet,true,true
Grid,round_011,8,mamba2d,model_rounds/round_011/model_08_mamba2d,true,true
Grid,round_011,9,mamba_attention,model_rounds/round_011/model_09_mamba_attention,true,true
Grid,round_012,0,fno2d,model_rounds/round_012/model_00_fno2d,true,true
Grid,round_012,1,fourier_unet,model_rounds/round_012/model_01_fourier_unet,true,true
Grid,round_012,2,hrnet,model_rounds/round_012/model_02_hrnet,true,true
Grid,round_012,3,kan_unet,model_rounds/round_012/model_03_kan_unet,true,true
Grid,round_012,4,mamba2d,model_rounds/round_012/model_04_mamba2d,true,true
Grid,round_012,5,mamba_attention,model_rounds/round_012/model_05_mamba_attention,true,true
Grid,round_012,6,multiscale_conv,model_rounds/round_012/model_06_multiscale_conv,true,true
Grid,round_012,7,nafnet,model_rounds/round_012/model_07_nafnet,true,true
Grid,round_012,8,perceiver_io,model_rounds/round_012/model_08_perceiver_io,true,true
Grid,round_012,9,quadmamba,model_rounds/round_012/model_09_quadmamba,true,true
Grid,round_013,0,kan_unet,model_rounds/round_013/model_00_kan_unet,true,true
Grid,round_013,1,mamba_attention,model_rounds/round_013/model_01_mamba_attention,true,true
Grid,round_013,2,multiscale_conv,model_rounds/round_013/model_02_multiscale_conv,true,true
Grid,round_013,3,nafnet,model_rounds/round_013/model_03_nafnet,true,true
Grid,round_013,4,perceiver_io,model_rounds/round_013/model_04_perceiver_io,true,true
Grid,round_013,5,quadmamba,model_rounds/round_013/model_05_quadmamba,true,true
Grid,round_013,6,residual_spectral,model_rounds/round_013/model_06_residual_spectral,true,true
Grid,round_013,7,sac_mamba,model_rounds/round_013/model_07_sac_mamba,true,true
Grid,round_013,8,sac_unet,model_rounds/round_013/model_08_sac_unet,true,true
Grid,round_013,9,swin_unetr,model_rounds/round_013/model_09_swin_unetr,true,true
Grid,round_014,0,mamba_attention,model_rounds/round_014/model_00_mamba_attention,true,true
Grid,round_014,1,multiscale_conv,model_rounds/round_014/model_01_multiscale_conv,true,true
Grid,round_014,2,nafnet,model_rounds/round_014/model_02_nafnet,true,true
Grid,round_014,3,perceiver_io,model_rounds/round_014/model_03_perceiver_io,true,true
Grid,round_014,4,quadmamba,model_rounds/round_014/model_04_quadmamba,true,true
Grid,round_014,5,residual_spectral,model_rounds/round_014/model_05_residual_spectral,true,true
Grid,round_014,6,sac_mamba,model_rounds/round_014/model_06_sac_mamba,true,true
Grid,round_014,7,sac_unet,model_rounds/round_014/model_07_sac_unet,true,true
Grid,round_014,8,swin_unetr,model_rounds/round_014/model_08_swin_unetr,true,true
Grid,round_014,9,transolver,model_rounds/round_014/model_09_transolver,true,true
Grid,round_015,0,multiscale_conv,model_rounds/round_015/model_00_multiscale_conv,true,true
Grid,round_015,1,perceiver_io,model_rounds/round_015/model_01_perceiver_io,true,true
Grid,round_015,2,quadmamba,model_rounds/round_015/model_02_quadmamba,true,true
Grid,round_015,3,residual_spectral,model_rounds/round_015/model_03_residual_spectral,true,true
Grid,round_015,4,sac_mamba,model_rounds/round_015/model_04_sac_mamba,true,true
Grid,round_015,5,sac_unet,model_rounds/round_015/model_05_sac_unet,true,true
Grid,round_015,6,swin_unetr,model_rounds/round_015/model_06_swin_unetr,true,true
Grid,round_015,7,transolver,model_rounds/round_015/model_07_transolver,true,true
Grid,round_015,8,transolver_lite,model_rounds/round_015/model_08_transolver_lite,true,true
Grid,round_015,9,ufno,model_rounds/round_015/model_09_ufno,true,true
