model_id,family,arch_name,params,trainable_params,input_features,n_c/depth/width,lr,loss,epochs,seed,val_R2_median,val_R2_mean,val_R2_global,val_MAE_median,status,notes
grid_controller_001_00_afno,Spectral/Fourier operators,afno,11925985,11925985,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.0005,masked_l1_gradient,200,1,0.24319255933464845,,0.40944578725588754,0.1303883045911789,benchmark200_ranked,source_run_id=r_afno_afno_gradient_low_lr_32b2e9e820; smoke_run_id=r_grid_controller_001_00_afno_smoke20; benchmark_run_id=r_benchmark_00_afno_benchmark200_retry1; resolution=retry1; model_file=generated_models/grid_round/afno.py
grid_controller_001_01_attention_mamba,Mamba variants,attention_mamba,35969713,35969713,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1_gradient,200,1,0.6863843349368338,,0.6516675261809055,0.09264405071735382,benchmark200_ranked,source_run_id=r_attention_mamba_attention_mamba_gradient_default_b35b4bbf4f; smoke_run_id=r_grid_controller_001_01_attention_mamba_smoke20; benchmark_run_id=r_benchmark_01_attention_mamba_benchmark200; resolution=original; model_file=generated_models/grid_round/attention_mamba.py
grid_controller_001_02_cnn_deeponet,DeepONet,cnn_deeponet,1680577,1680577,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.0005,masked_l1_gradient,200,1,-3.323431164343231,,-2.6599113705271864,0.3526242673397064,benchmark200_ranked,source_run_id=r_cnn_deeponet_deeponet_gradient_low_lr_ema_54ae5b6795; smoke_run_id=r_grid_controller_001_02_cnn_deeponet_smoke20; benchmark_run_id=r_benchmark_02_cnn_deeponet_benchmark200; resolution=original; model_file=generated_models/grid_round/cnn_deeponet.py
grid_controller_001_03_convnext_v2_unet,UNet variants,convnext_v2_unet,7463841,7463841,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1_gradient,200,1,0.35500130240243155,,0.4605294333481966,0.1317015141248703,benchmark200_ranked,source_run_id=r_convnext_v2_unet_convnext_gradient_default_0de87b6607; smoke_run_id=r_grid_controller_001_03_convnext_v2_unet_smoke20; benchmark_run_id=r_benchmark_03_convnext_v2_unet_benchmark200; resolution=original; model_file=generated_models/grid_round/convnext_v2_unet.py
grid_controller_001_04_dilated_fno,Spectral/Fourier operators,dilated_fno,60726001,60726001,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1_gradient,200,1,0.6575329779366287,,0.6424665418216358,0.09054562449455261,benchmark200_ranked,source_run_id=r_dilated_fno_dilated_fno_gradient_cosine_f58dc09a56; smoke_run_id=r_grid_controller_001_04_dilated_fno_smoke20; benchmark_run_id=r_benchmark_04_dilated_fno_benchmark200; resolution=original; model_file=generated_models/grid_round/dilated_fno.py
grid_controller_001_05_dilated_hrformer,High-resolution CNN/Transformer,dilated_hrformer,42474673,42474673,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1_gradient,200,1,0.30606230914901367,,0.48391278461223486,0.12394075095653534,benchmark200_ranked,source_run_id=r_dilated_hrformer_dilated_hrformer_gradient_cosine_486515694a; smoke_run_id=r_grid_controller_001_05_dilated_hrformer_smoke20; benchmark_run_id=r_benchmark_05_dilated_hrformer_benchmark200_retry1; resolution=retry1; model_file=generated_models/grid_round/dilated_hrformer.py
grid_controller_001_06_dilated_unet,UNet variants,dilated_unet,14780705,14780705,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1_gradient,200,1,0.6621173135921913,,0.6476479259655021,0.09722725301980972,benchmark200_ranked,source_run_id=r_dilated_unet_dilated_gradient_cosine_4f9afbfcad; smoke_run_id=r_grid_controller_001_06_dilated_unet_smoke20; benchmark_run_id=r_benchmark_06_dilated_unet_benchmark200; resolution=original; model_file=generated_models/grid_round/dilated_unet.py
grid_controller_001_07_ffno,Spectral/Fourier operators,ffno,206337,206337,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.0005,masked_l1,200,1,0.42645368890732727,,0.5151652747158726,0.11960967630147934,benchmark200_ranked,source_run_id=r_ffno_expanded_l1_lr5e4_ema_cosine_daecb9c594; smoke_run_id=r_grid_controller_001_07_ffno_smoke20; benchmark_run_id=r_benchmark_07_ffno_benchmark200; resolution=original; model_file=generated_models/grid_round/ffno.py
grid_controller_001_08_fno_encoder_decoder,Spectral/Fourier operators,fno_encoder_decoder,62924353,62924353,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.0005,masked_l1,200,1,0.5469879858211406,,0.5515671522334482,0.11166328191757202,benchmark200_ranked,source_run_id=r_fno_encoder_decoder_expanded_l1_lr5e4_ema_cosine_b398a23c72; smoke_run_id=r_grid_controller_001_08_fno_encoder_decoder_smoke20; benchmark_run_id=r_benchmark_08_fno_encoder_decoder_benchmark200; resolution=original; model_file=generated_models/grid_round/fno_encoder_decoder.py
grid_controller_001_09_hrdcn,High-resolution CNN/Transformer,hrdcn,9258281,9258281,Grid standard gridded inputs; architecture-specific processing inside generated wrapper,not separately recorded in ledger; see model_file,0.001,masked_l1,200,1,0.6595389893829466,,0.624341084788455,0.09866245090961456,benchmark200_ranked,source_run_id=r_hrdcn_expanded_l1_lr1e3_noema_nosched_45f12f0d52; smoke_run_id=r_grid_controller_001_09_hrdcn_smoke20; benchmark_run_id=r_benchmark_09_hrdcn_benchmark200_retry1; resolution=retry1; model_file=generated_models/grid_round/hrdcn.py
