mode,round,slot,arch_name,experiment_id,model_dir,has_model,has_config
Sequential,r002,0,cbam_unet,r002_full_cbam_unet_nc16_lr0.001_masked_l1,model_rounds/r002/model_00_cbam_unet,true,true
Sequential,r002,1,fourier_unet,r002_full_fourier_unet_nc16_lr0.001_masked_l1,model_rounds/r002/model_01_fourier_unet,true,true
Sequential,r002,2,hrdcn,r002_full_hrdcn_nc16_lr0.0005_masked_l1,model_rounds/r002/model_02_hrdcn,true,true
Sequential,r002,3,hrformer,r002_full_hrformer_nc16_lr0.0005_masked_l1,model_rounds/r002/model_03_hrformer,true,true
Sequential,r002,4,mamba_attention,r002_full_mamba_attention_nc16_lr0.0005_masked_l1,model_rounds/r002/model_04_mamba_attention,true,true
Sequential,r002,5,multiscale_conv,r002_full_multiscale_conv_nc16_lr0.001_masked_l1,model_rounds/r002/model_05_multiscale_conv,true,true
Sequential,r002,6,residual_spectral,r002_full_residual_spectral_nc16_lr0.001_masked_l1,model_rounds/r002/model_06_residual_spectral,true,true
Sequential,r002,7,swin_unetr,r002_full_swin_unetr_nc24_lr0.0005_masked_l1,model_rounds/r002/model_07_swin_unetr,true,true
Sequential,r002,8,transolver_lite,r002_full_transolver_lite_nc16_lr0.001_masked_l1,model_rounds/r002/model_08_transolver_lite,true,true
Sequential,r002,9,transolver,r002_full_transolver_nc16_lr0.0005_masked_l1,model_rounds/r002/model_09_transolver,true,true
Sequential,r002,10,ufno,r002_full_ufno_nc16_lr0.001_masked_l1,model_rounds/r002/model_10_ufno,true,true
Sequential,r003,0,attention_gate_unet,r003_full_attention_gate_unet_nc16_lr0.001_masked_l1,model_rounds/r003/model_00_attention_gate_unet,true,true
Sequential,r003,1,cbam_unet,r003_full_cbam_unet_nc24_lr0.001_masked_l1,model_rounds/r003/model_01_cbam_unet,true,true
Sequential,r003,2,cno,r003_full_cno_nc32_lr0.001_masked_l1,model_rounds/r003/model_02_cno,true,true
Sequential,r003,3,dcn_unet,r003_full_dcn_unet_nc16_lr0.001_masked_l1,model_rounds/r003/model_03_dcn_unet,true,true
Sequential,r003,4,dilated_unet,r003_full_dilated_unet_nc24_lr0.001_masked_l1,model_rounds/r003/model_04_dilated_unet,true,true
Sequential,r003,5,residual_spectral,r003_full_residual_spectral_nc16_lr0.001_masked_huber,model_rounds/r003/model_05_residual_spectral,true,true
Sequential,r003,6,residual_spectral,r003_full_residual_spectral_nc16_lr0.001_masked_l1_gradient,model_rounds/r003/model_06_residual_spectral,true,true
Sequential,r003,7,sac_unet,r003_full_sac_unet_nc24_lr0.001_masked_l1,model_rounds/r003/model_07_sac_unet,true,true
Sequential,r004,0,attention_gate_unet,r004_full_attention_gate_unet_nc16_lr0.001_masked_l1_gradient,model_rounds/r004/model_00_attention_gate_unet,true,true
Sequential,r004,1,dilated_unet,r004_full_dilated_unet_nc24_lr0.001_masked_l1_gradient,model_rounds/r004/model_01_dilated_unet,true,true
Sequential,r004,2,fno_encoder_decoder,r004_full_fno_encoder_decoder_nc24_lr0.001_masked_l1,model_rounds/r004/model_02_fno_encoder_decoder,true,true
Sequential,r004,3,hrnet,r004_full_hrnet_nc32_lr0.001_masked_l1,model_rounds/r004/model_03_hrnet,true,true
Sequential,r004,4,residual_spectral,r004_full_residual_spectral_nc16_lr0.001_masked_l1,model_rounds/r004/model_04_residual_spectral,true,true
Sequential,r004,5,residual_spectral,r004_full_residual_spectral_nc16_lr0.001_masked_l1_gradient,model_rounds/r004/model_05_residual_spectral,true,true
Sequential,r004,6,residual_spectral,r004_full_residual_spectral_nc24_lr0.001_masked_l1_gradient,model_rounds/r004/model_06_residual_spectral,true,true
Sequential,r004,7,sac_unet,r004_full_sac_unet_nc16_lr0.001_masked_l1,model_rounds/r004/model_07_sac_unet,true,true
Sequential,r004,8,sac_unet,r004_full_sac_unet_nc24_lr0.001_masked_l1_gradient,model_rounds/r004/model_08_sac_unet,true,true
Sequential,r004,9,ufno,r004_full_ufno_nc16_lr0.001_masked_l1_gradient,model_rounds/r004/model_09_ufno,true,true
Sequential,r005,0,attention_gate_unet,r005_full_attention_gate_unet_nc24_lr0.001_masked_l1_gradient,model_rounds/r005/model_00_attention_gate_unet,true,true
Sequential,r005,1,cbam_unet,r005_full_cbam_unet_nc16_lr0.001_masked_l1_gradient,model_rounds/r005/model_01_cbam_unet,true,true
Sequential,r005,2,cno,r005_full_cno_nc32_lr0.001_masked_l1_gradient,model_rounds/r005/model_02_cno,true,true
Sequential,r005,3,dilated_unet,r005_full_dilated_unet_nc16_lr0.001_masked_l1_gradient,model_rounds/r005/model_03_dilated_unet,true,true
Sequential,r005,4,hrdcn,r005_full_hrdcn_nc16_lr0.0005_masked_l1_gradient,model_rounds/r005/model_04_hrdcn,true,true
Sequential,r005,5,multiscale_conv,r005_full_multiscale_conv_nc16_lr0.001_masked_l1_gradient,model_rounds/r005/model_05_multiscale_conv,true,true
Sequential,r005,6,quadmamba,r005_full_quadmamba_nc24_lr0.001_masked_l1_gradient,model_rounds/r005/model_06_quadmamba,true,true
