checkpoint,run_dir,split_label,n_cases,n_fail,failed_cases,r2_median,r2_mean,r2_global,mae_median,mae_mean,nmae_median,nmae_mean,nmae_global,eps_sigma_median,eps_sigma_mean,eps_sigma_global
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,hist_b395_metrics_val51,51,0,,0.7084987042869555,0.6226817355183213,0.656519520193142,0.09351226073636942,0.08579382323986452,0.22649414660960765,0.24298425852704675,0.25823225592454324,0.10557105247935453,0.11540774745460632,0.13016899098886558
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,hist_b395_complement_holdout51,51,0,,0.6663786442297666,0.6854708959798133,0.691480061587022,0.07588551221650161,0.0804846964969475,0.24696552052323698,0.21498250218371542,0.2238821533174798,0.05349927859404259,0.10000283380455066,0.14447144335753676
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,hist_b395_all102,102,0,,0.6778625236549499,0.6540763931552532,0.6753894197991506,0.08900440636671485,0.08313923575571702,0.24447537515533152,0.22898329610898135,0.24228364727563975,0.08768458357790004,0.10770576184226677,0.13817050875293374
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,current_d510_seed1_val55,55,0,,0.6663786435289141,0.6578419653102078,0.6738162031157187,0.09351226009169851,0.0834159550098944,0.2419852284926338,0.227160649052279,0.24242348946167347,0.08684569703111734,0.10560373258594828,0.14863930990892377
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,current_d510_seed1_holdout47,47,0,,0.7173537466511386,0.6496701591798786,0.6770237403846551,0.08336265743653383,0.08281529665916466,0.246965520719458,0.23111573735988672,0.24214236977670564,0.08852346844750159,0.11016563788915794,0.12761721853490982
v3_orthogonal exploratory sweep_200ep,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_200ep/baseline,current_d510_seed1_all102,102,0,,0.6778625271786491,0.6540763930957957,0.6753894199811278,0.08900440653706196,0.08313923579074142,0.24447537469007255,0.22898329628833297,0.24228364731480606,0.08768458386106341,0.10770576127400892,0.13817050847357976
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,hist_b395_metrics_val51,51,0,,0.7123147548412305,0.65298702810332,0.6737173405721211,0.09225812019690478,0.08189357564232219,0.23081255058341776,0.2305348956090028,0.24956832420553654,0.11442094466479877,0.1185732888510971,0.1263079080024356
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,hist_b395_complement_holdout51,51,0,,0.6861796607043125,0.7124682063113085,0.7063811006363374,0.07264489992156456,0.07624011356790676,0.22897403733598246,0.20172016407446786,0.2166728595878933,0.09966102953395159,0.11688913449579669,0.142086248273515
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,hist_b395_all102,102,0,,0.6982020823409438,0.6827284162183213,0.6913912827091226,0.08834696452273533,0.07906675296763652,0.22979021047816528,0.21612711257525255,0.2342951754424007,0.10708597926861722,0.11773121491347678,0.13498723393137793
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,current_d510_seed1_val55,55,0,,0.6861796615895553,0.688347814647232,0.6901060508066472,0.09044699818618494,0.07916717650554098,0.23060638558669339,0.21369311096384816,0.23453078369533048,0.1125509167493403,0.12319692172073958,0.1476347155159714
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,current_d510_seed1_holdout47,47,0,,0.7187030606608587,0.6761499237722436,0.6927259653468529,0.07749067851351436,0.07894925044382242,0.22355931745260266,0.21897544514839798,0.2340573783165647,0.10293794585407594,0.11133000437909925,0.12230706975662184
v3_1k_top3_baseline,<BASELINE_HPC_SOURCE_ROOT>/campaigns/orthogonal exploratory sweep_top3_1k/baseline,current_d510_seed1_all102,102,0,,0.6982020693897627,0.6827284151408759,0.6913912823877033,0.08834696441535786,0.07906675304020715,0.22979021107761527,0.21612711280128402,0.23429517560212582,0.10708597806484943,0.1177312142495602,0.1349872338102477
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,hist_b395_metrics_val51,51,0,,0.7220485997971847,0.6433662675846671,0.6598943577809666,0.09399209614799518,0.08318940810340382,0.21948612760380415,0.23346185417121823,0.25428350952543355,0.09065033438233433,0.11168037383482883,0.1119963333699257
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,hist_b395_complement_holdout51,51,0,,0.6861699724440415,0.7106627596501044,0.7026597147505096,0.06934506967872266,0.07653914763678521,0.22736289931525935,0.20350201378585553,0.21794789949851642,0.07974715042182354,0.11238174954570386,0.12816922930991856
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,hist_b395_all102,102,0,,0.709472975032434,0.6770146628302036,0.6823256862724372,0.08751684313256405,0.07986429116218144,0.22342451345038952,0.21848202704134842,0.23741297384078164,0.08961732505105628,0.11203180009277294,0.12087412665652562
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,current_d510_seed1_val55,55,0,,0.6861699708567053,0.6810866715502865,0.6836273358531365,0.08910172070795293,0.07990608082541631,0.21948612706904785,0.21664049426034407,0.23617597830126483,0.09795738983189443,0.11643881553572064,0.1264008109265041
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,current_d510_seed1_holdout47,47,0,,0.7502065406756266,0.6722503079654006,0.680973364687131,0.07404144411458055,0.07981533770859309,0.23622591176678698,0.22063687738208437,0.23866159026979203,0.08554195754236191,0.10687162391398128,0.11528801431588838
v3_1k_reference_seed7,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/reference_seed7,current_d510_seed1_all102,102,0,,0.7094729748835364,0.6770146625471088,0.6823256865268514,0.08751684291921794,0.0798642911817155,0.22342451367039037,0.21848202707697192,0.23741297388978672,0.0896173236314222,0.11203179905934198,0.12087412731085204
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,hist_b395_metrics_val51,51,0,,0.7220486011903996,0.6433662670819722,0.6598943576961618,0.0939920960163617,0.08318940815575047,0.21948612729641953,0.23346185444442863,0.2542835095579751,0.09065032442390387,0.1116803750679731,0.1119963338577122
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,hist_b395_complement_holdout51,51,0,,0.686169978515653,0.7106627606805903,0.7026597148894879,0.06934506974136767,0.07653914758874772,0.2273628991037772,0.203502013494705,0.21794789954876034,0.07974714995695363,0.1123817507848984,0.12816922898632274
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,hist_b395_all102,102,0,,0.7094729740836976,0.6770146631232741,0.6823256861991384,0.08751684257381417,0.07986429117056937,0.22342451335112623,0.21848202711500025,0.23741297386458723,0.08961732321646826,0.11203179901962897,0.1208741262948389
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,current_d510_seed1_val55,55,0,,0.686169969652417,0.681086673328078,0.6836273359866556,0.08910172016382376,0.07990608076155381,0.2194861276829058,0.21664049404626262,0.23617597818545452,0.09795739031382274,0.1164388161150003,0.12640081092389563
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,current_d510_seed1_holdout47,47,0,,0.7502065386061197,0.6722503077804434,0.6809733642877192,0.07404144393340338,0.07981533758396855,0.23622591179631372,0.22063687712461352,0.2386615902413146,0.08554195980034,0.10687162496490944,0.11528801457545465
v3_1k_baseline_s1_run,<BASELINE_HPC_SOURCE_ROOT>/campaigns/baseline/runs/baseline_s1,current_d510_seed1_all102,102,0,,0.7094729750169498,0.6770146627106624,0.6823256866270461,0.08751684259228262,0.07986429113441591,0.22342451304699149,0.2184820269631981,0.2374129737612191,0.08961732529879327,0.11203179863931413,0.1208741267880326



